epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.7078,0.98506,2.64913,1.31194,0.55859,0.85,0.87771,0.63475,1.65648,1.07053,1.37986,0,0,0
2,3.26911,1.03569,3.26328,1.38094,0.55588,0.85,0.88554,0.63516,1.66773,1.0681,1.38506,1.17822e-06,1.17822e-06,1.17822e-06
3,4.64531,1.37482,2.78177,1.77357,0.55098,0.85,0.84963,0.61708,1.6867,1.07736,1.39133,2.33288e-06,2.33288e-06,2.33288e-06
4,5.94685,1.49743,3.00032,2.07217,0.54808,0.85,0.85442,0.63765,1.69515,1.06983,1.39336,3.46397e-06,3.46397e-06,3.46397e-06
5,7.28741,1.48995,3.26893,1.93841,0.53905,0.85,0.8556,0.63813,1.67387,1.05097,1.36671,4.5715e-06,4.5715e-06,4.5715e-06
6,10.0243,1.17605,2.70712,1.47863,0.81693,0.646,0.85883,0.6262,1.65401,1.04506,1.3542,5.65548e-06,5.65548e-06,5.65548e-06
7,11.5989,1.16098,2.38622,1.42382,0.55726,0.85,0.87301,0.62621,1.65399,1.04905,1.35583,6.71588e-06,6.71588e-06,6.71588e-06
8,12.8809,0.98002,2.43862,1.23914,0.58024,0.86497,0.85958,0.62775,1.65637,1.06308,1.35942,7.75273e-06,7.75273e-06,7.75273e-06
9,14.1615,1.11773,3.69683,1.47576,0.77971,0.65,0.89436,0.62928,1.6364,1.03986,1.34379,8.76602e-06,8.76602e-06,8.76602e-06
10,15.6303,1.00055,2.41507,1.2427,0.77022,0.65,0.89449,0.63083,1.63832,1.05015,1.34339,9.75574e-06,9.75574e-06,9.75574e-06
11,16.978,1.13096,2.82011,1.39536,0.65711,0.77826,0.90973,0.63379,1.63792,1.05259,1.34059,1.07219e-05,1.07219e-05,1.07219e-05
12,18.2461,0.89135,2.15056,1.28122,0.65814,0.77966,0.90947,0.64475,1.63975,1.07557,1.3413,1.16645e-05,1.16645e-05,1.16645e-05
13,19.6486,0.91079,1.89736,1.43279,0.65704,0.77754,0.91168,0.64752,1.62201,1.08079,1.32983,1.25835e-05,1.25835e-05,1.25835e-05
14,21.0326,0.99108,2.2232,1.38557,0.70564,0.74673,0.91258,0.65251,1.61057,1.08313,1.32718,1.3479e-05,1.3479e-05,1.3479e-05
15,22.4226,1.02539,1.85875,1.39522,0.70696,0.74818,0.91272,0.64828,1.61246,1.09235,1.32922,1.43509e-05,1.43509e-05,1.43509e-05
16,23.6932,1.0457,2.22394,1.56065,0.81121,0.65,0.9128,0.6314,1.62105,1.10404,1.33199,1.51993e-05,1.51993e-05,1.51993e-05
17,25.0245,0.93412,2.22441,1.35039,0.82599,0.65,0.91267,0.63313,1.63256,1.1053,1.33599,1.60241e-05,1.60241e-05,1.60241e-05
18,26.345,1.14696,2.48834,1.46628,0.82599,0.65,0.91267,0.63313,1.63256,1.1053,1.33599,1.68253e-05,1.68253e-05,1.68253e-05
19,27.6923,1.05671,1.5172,1.27421,0.81327,0.65,0.91247,0.62523,1.63138,1.13587,1.33726,1.7603e-05,1.7603e-05,1.7603e-05
20,28.9475,1.00559,1.50665,1.28571,0.81327,0.65,0.91247,0.62523,1.63138,1.13587,1.33726,1.83571e-05,1.83571e-05,1.83571e-05
21,30.4007,1.16452,3.17825,1.50608,0.82465,0.65,0.91063,0.62688,1.64814,1.15303,1.34496,1.90876e-05,1.90876e-05,1.90876e-05
22,31.8938,0.97629,1.77002,1.49645,0.82465,0.65,0.91063,0.62688,1.64814,1.15303,1.34496,1.97946e-05,1.97946e-05,1.97946e-05
23,33.3474,1.04265,2.01653,1.30458,0.82478,0.65,0.85492,0.6123,1.66739,1.20236,1.36237,2.0478e-05,2.0478e-05,2.0478e-05
24,34.7013,1.05601,1.65132,1.38169,0.82478,0.65,0.85492,0.6123,1.66739,1.20236,1.36237,2.11379e-05,2.11379e-05,2.11379e-05
25,36.2676,0.88534,1.98416,1.25166,0.82862,0.65,0.8554,0.59995,1.69275,1.23791,1.37973,2.17741e-05,2.17741e-05,2.17741e-05
26,37.6717,0.95894,1.61226,1.39622,0.82862,0.65,0.8554,0.59995,1.69275,1.23791,1.37973,2.23869e-05,2.23869e-05,2.23869e-05
27,39.167,0.8964,1.53844,1.24264,0.82773,0.65,0.8551,0.59981,1.68223,1.2559,1.37719,2.2976e-05,2.2976e-05,2.2976e-05
28,40.4952,0.86442,1.50926,1.22813,0.82773,0.65,0.8551,0.59981,1.68223,1.2559,1.37719,2.35417e-05,2.35417e-05,2.35417e-05
29,41.7935,1.21899,1.76322,1.42453,0.80037,0.65,0.85212,0.59896,1.66793,1.29007,1.37595,2.40837e-05,2.40837e-05,2.40837e-05
30,43.0991,0.78511,1.37403,1.13996,0.80037,0.65,0.85212,0.59896,1.66793,1.29007,1.37595,2.46022e-05,2.46022e-05,2.46022e-05
31,44.5503,0.86225,1.44732,1.26506,0.79203,0.65,0.77512,0.52517,1.66699,1.33437,1.37532,2.50971e-05,2.50971e-05,2.50971e-05
32,46.0317,0.98191,1.36523,1.26942,0.79203,0.65,0.77512,0.52517,1.66699,1.33437,1.37532,2.55685e-05,2.55685e-05,2.55685e-05
33,47.3331,0.83902,1.52443,1.30425,0.77767,0.65,0.76681,0.52363,1.64106,1.35636,1.36255,2.60163e-05,2.60163e-05,2.60163e-05
34,48.6401,0.77693,1.42783,1.2417,0.77767,0.65,0.76681,0.52363,1.64106,1.35636,1.36255,2.64405e-05,2.64405e-05,2.64405e-05
35,50.1239,0.89819,1.48747,1.19344,0.77954,0.65,0.76668,0.52362,1.65261,1.40364,1.3707,2.68412e-05,2.68412e-05,2.68412e-05
36,51.423,0.7798,1.41836,1.16035,0.77954,0.65,0.76668,0.52362,1.65261,1.40364,1.3707,2.72183e-05,2.72183e-05,2.72183e-05
37,52.7875,0.90038,1.36162,1.35129,0.76308,0.65,0.73628,0.49933,1.66028,1.44111,1.38514,2.75718e-05,2.75718e-05,2.75718e-05
38,54.1654,0.98539,1.67919,1.33049,0.76308,0.65,0.73628,0.49933,1.66028,1.44111,1.38514,2.79018e-05,2.79018e-05,2.79018e-05
39,55.6014,1.00526,2.11841,1.41826,0.65285,0.7,0.71491,0.49634,1.68205,1.53248,1.39015,2.82082e-05,2.82082e-05,2.82082e-05
40,56.9458,1.02709,1.11965,1.44583,0.65285,0.7,0.71491,0.49634,1.68205,1.53248,1.39015,2.84911e-05,2.84911e-05,2.84911e-05
41,58.3379,0.77932,1.21232,1.14998,0.65547,0.7,0.7002,0.48206,1.68225,1.58952,1.39121,2.87504e-05,2.87504e-05,2.87504e-05
42,59.7318,0.91327,1.2928,1.29287,0.65547,0.7,0.7002,0.48206,1.68225,1.58952,1.39121,2.89861e-05,2.89861e-05,2.89861e-05
43,61.1447,0.52397,2.45466,1.10715,0.57302,0.51754,0.58524,0.36835,1.69837,1.66041,1.39415,2.91983e-05,2.91983e-05,2.91983e-05
44,62.5864,0.91682,1.06253,1.27904,0.57302,0.51754,0.58524,0.36835,1.69837,1.66041,1.39415,2.93869e-05,2.93869e-05,2.93869e-05
45,63.934,0.66561,0.89555,1.16914,0.59111,0.48333,0.52724,0.31912,1.72005,1.73253,1.41126,2.9552e-05,2.9552e-05,2.9552e-05
46,65.2166,0.92031,1.23039,1.42783,0.59111,0.48333,0.52724,0.31912,1.72005,1.73253,1.41126,2.96935e-05,2.96935e-05,2.96935e-05
47,66.5904,0.84414,0.86471,1.12182,0.58609,0.48333,0.52662,0.3112,1.71517,1.76119,1.40309,2.98114e-05,2.98114e-05,2.98114e-05
48,67.9582,0.73234,1.07545,1.1329,0.58609,0.48333,0.52662,0.3112,1.71517,1.76119,1.40309,2.99058e-05,2.99058e-05,2.99058e-05
49,69.5772,0.92129,1.1664,1.26313,0.60561,0.49749,0.52729,0.30912,1.73869,1.85178,1.41974,2.99766e-05,2.99766e-05,2.99766e-05
50,70.8982,0.8259,0.89874,1.18305,0.60561,0.49749,0.52729,0.30912,1.73869,1.85178,1.41974,3.00238e-05,3.00238e-05,3.00238e-05
51,72.3217,0.76809,1.07,1.16132,0.60693,0.49745,0.52571,0.30501,1.72893,1.88615,1.42134,3.00475e-05,3.00475e-05,3.00475e-05
52,73.9374,0.84315,0.91402,1.18502,0.60693,0.49745,0.52571,0.30501,1.72893,1.88615,1.42134,3.00476e-05,3.00476e-05,3.00476e-05
53,75.6008,0.66176,0.76908,1.18752,0.60693,0.49745,0.52571,0.30501,1.72893,1.88615,1.42134,3.00242e-05,3.00242e-05,3.00242e-05
54,77.0018,0.82626,1.18313,1.2434,0.77135,0.49922,0.5265,0.30419,1.70292,1.9279,1.42099,2.99772e-05,2.99772e-05,2.99772e-05
55,78.2783,0.90095,0.78839,1.18504,0.77135,0.49922,0.5265,0.30419,1.70292,1.9279,1.42099,2.99066e-05,2.99066e-05,2.99066e-05
56,79.5063,0.81952,1.05026,1.14953,0.77135,0.49922,0.5265,0.30419,1.70292,1.9279,1.42099,2.98125e-05,2.98125e-05,2.98125e-05
57,80.8442,0.63426,0.8579,1.06573,0.76297,0.5,0.52673,0.30694,1.65647,1.84744,1.38769,2.96948e-05,2.96948e-05,2.96948e-05
58,82.1315,0.68549,0.73178,1.13387,0.76297,0.5,0.52673,0.30694,1.65647,1.84744,1.38769,2.95535e-05,2.95535e-05,2.95535e-05
59,83.3883,0.80983,0.98499,1.22644,0.76297,0.5,0.52673,0.30694,1.65647,1.84744,1.38769,2.93887e-05,2.93887e-05,2.93887e-05
60,84.6974,1.00868,1.11303,1.424,0.76242,0.5,0.52152,0.30194,1.68535,1.90679,1.40385,2.92003e-05,2.92003e-05,2.92003e-05
61,85.9611,0.62683,0.806,1.09216,0.76242,0.5,0.52152,0.30194,1.68535,1.90679,1.40385,2.89884e-05,2.89884e-05,2.89884e-05
62,87.2729,0.65662,0.73762,1.12243,0.76242,0.5,0.52152,0.30194,1.68535,1.90679,1.40385,2.87529e-05,2.87529e-05,2.87529e-05
63,88.6463,1.31852,1.67161,1.74151,0.76082,0.5,0.51938,0.30243,1.67509,1.94966,1.40092,2.84938e-05,2.84938e-05,2.84938e-05
64,89.8957,0.78673,0.92387,1.14268,0.76082,0.5,0.51938,0.30243,1.67509,1.94966,1.40092,2.82112e-05,2.82112e-05,2.82112e-05
65,91.1468,0.87019,0.72684,1.15169,0.76082,0.5,0.51938,0.30243,1.67509,1.94966,1.40092,2.7905e-05,2.7905e-05,2.7905e-05
66,92.4409,0.71826,0.70523,1.16852,0.75998,0.5,0.51868,0.2987,1.73022,2.03916,1.423,2.75753e-05,2.75753e-05,2.75753e-05
67,93.7266,0.67898,0.59048,1.04,0.75998,0.5,0.51868,0.2987,1.73022,2.03916,1.423,2.7222e-05,2.7222e-05,2.7222e-05
68,94.9972,0.88974,1.01659,1.23898,0.75998,0.5,0.51868,0.2987,1.73022,2.03916,1.423,2.68451e-05,2.68451e-05,2.68451e-05
69,96.3047,0.74422,0.7272,1.15593,0.76343,0.5,0.51897,0.28834,1.73179,2.02752,1.4186,2.64447e-05,2.64447e-05,2.64447e-05
70,97.5429,1.09493,1.2492,1.50542,0.76343,0.5,0.51897,0.28834,1.73179,2.02752,1.4186,2.60207e-05,2.60207e-05,2.60207e-05
71,98.808,0.61992,0.66372,1.016,0.76343,0.5,0.51897,0.28834,1.73179,2.02752,1.4186,2.55731e-05,2.55731e-05,2.55731e-05
72,100.116,0.81195,0.6063,1.039,0.67574,0.45291,0.47626,0.29082,1.7413,2.06367,1.42035,2.5102e-05,2.5102e-05,2.5102e-05
73,101.365,0.69564,0.84367,1.11595,0.67574,0.45291,0.47626,0.29082,1.7413,2.06367,1.42035,2.46073e-05,2.46073e-05,2.46073e-05
74,102.651,0.77567,0.75013,1.15478,0.67574,0.45291,0.47626,0.29082,1.7413,2.06367,1.42035,2.40891e-05,2.40891e-05,2.40891e-05
75,104.011,0.88368,0.75803,1.33002,0.67946,0.45303,0.47602,0.28673,1.75648,2.12568,1.43993,2.35472e-05,2.35472e-05,2.35472e-05
76,105.328,0.65877,0.61467,1.06677,0.67946,0.45303,0.47602,0.28673,1.75648,2.12568,1.43993,2.29819e-05,2.29819e-05,2.29819e-05
77,106.721,0.75444,0.70822,1.16367,0.67946,0.45303,0.47602,0.28673,1.75648,2.12568,1.43993,2.23929e-05,2.23929e-05,2.23929e-05
78,108.077,0.85457,1.09619,1.24324,0.89168,0.37859,0.46213,0.28256,1.79209,2.18763,1.47324,2.17805e-05,2.17805e-05,2.17805e-05
79,109.48,0.65208,0.65872,1.03984,0.89168,0.37859,0.46213,0.28256,1.79209,2.18763,1.47324,2.11444e-05,2.11444e-05,2.11444e-05
80,110.764,0.64336,0.58673,0.99806,0.89168,0.37859,0.46213,0.28256,1.79209,2.18763,1.47324,2.04848e-05,2.04848e-05,2.04848e-05
81,112.048,0.67357,0.86146,1.20061,0.89331,0.37859,0.46135,0.28225,1.79698,2.24328,1.48509,1.98016e-05,1.98016e-05,1.98016e-05
82,113.328,0.63486,0.51261,1.09528,0.89331,0.37859,0.46135,0.28225,1.79698,2.24328,1.48509,1.90949e-05,1.90949e-05,1.90949e-05
83,114.615,0.74316,0.86906,1.13563,0.89331,0.37859,0.46135,0.28225,1.79698,2.24328,1.48509,1.83646e-05,1.83646e-05,1.83646e-05
84,115.886,0.50588,0.54543,1.02185,0.69013,0.4532,0.47494,0.29126,1.83434,2.23252,1.50348,1.76107e-05,1.76107e-05,1.76107e-05
85,117.162,0.66921,0.82106,1.06605,0.69013,0.4532,0.47494,0.29126,1.83434,2.23252,1.50348,1.68333e-05,1.68333e-05,1.68333e-05
86,118.476,0.90787,0.95191,1.42067,0.69013,0.4532,0.47494,0.29126,1.83434,2.23252,1.50348,1.60323e-05,1.60323e-05,1.60323e-05
87,119.745,0.85276,0.92817,1.24186,0.69013,0.4532,0.47494,0.29126,1.83434,2.23252,1.50348,1.52077e-05,1.52077e-05,1.52077e-05
88,121.081,0.78633,0.63538,1.23754,0.69271,0.45315,0.47737,0.30468,1.82737,2.17809,1.49703,1.43596e-05,1.43596e-05,1.43596e-05
89,122.346,0.85185,0.88367,1.21685,0.69271,0.45315,0.47737,0.30468,1.82737,2.17809,1.49703,1.34879e-05,1.34879e-05,1.34879e-05
90,123.717,0.70483,0.78572,1.05342,0.69271,0.45315,0.47737,0.30468,1.82737,2.17809,1.49703,1.25927e-05,1.25927e-05,1.25927e-05
91,125.066,0.53223,0.5821,1.13391,0.69271,0.45315,0.47737,0.30468,1.82737,2.17809,1.49703,1.16739e-05,1.16739e-05,1.16739e-05
92,126.429,0.46348,0.43542,0.86941,0.7715,0.5,0.5135,0.30685,1.80843,2.20116,1.47799,1.07315e-05,1.07315e-05,1.07315e-05
93,127.792,0.61124,0.50894,1.22448,0.7715,0.5,0.5135,0.30685,1.80843,2.20116,1.47799,9.76562e-06,9.76562e-06,9.76562e-06
94,129.235,0.60281,0.491,1.0155,0.7715,0.5,0.5135,0.30685,1.80843,2.20116,1.47799,8.77613e-06,8.77613e-06,8.77613e-06
95,130.626,0.75418,0.67121,1.25978,0.7715,0.5,0.5135,0.30685,1.80843,2.20116,1.47799,7.76308e-06,7.76308e-06,7.76308e-06
96,132.027,0.54726,0.58049,1.03878,0.75778,0.5,0.5147,0.29826,1.76742,2.14467,1.45173,6.72648e-06,6.72648e-06,6.72648e-06
97,133.332,0.48151,0.49122,0.94204,0.75778,0.5,0.5147,0.29826,1.76742,2.14467,1.45173,5.6663e-06,5.6663e-06,5.6663e-06
98,134.707,0.61466,0.52458,1.1236,0.75778,0.5,0.5147,0.29826,1.76742,2.14467,1.45173,4.58257e-06,4.58257e-06,4.58257e-06
99,136.036,0.50356,0.42369,0.91717,0.75778,0.5,0.5147,0.29826,1.76742,2.14467,1.45173,3.47528e-06,3.47528e-06,3.47528e-06
100,137.404,0.48699,0.44659,0.93936,0.77777,0.5,0.51238,0.31453,1.7794,2.26176,1.4731,2.34442e-06,2.34442e-06,2.34442e-06
